trial_idx,channel,d1,d2,d3,correction,image_path,target_x,target_y,target_theta,est_x,est_y,est_theta,err_dx_mm,err_dy_mm,err_dtheta_deg,gt_dx_mm,gt_dy_mm,gt_dtheta_deg,cycle,iters,time_s,residual_pos_mm,residual_ang_deg,gt_residual_pos_mm,gt_residual_ang_deg,success,success_gt,state
0,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t0.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,0,3,0.358,0.381,0.0,0.173,0.105,1,1,DONE
1,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t1.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,1,3,0.226,0.381,0.0,0.173,0.105,1,1,DONE
2,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t2.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,2,3,0.207,0.381,0.0,0.173,0.105,1,1,DONE
3,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t3.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,3,3,0.215,0.381,0.0,0.173,0.105,1,1,DONE
4,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t4.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,4,3,0.21,0.381,0.0,0.173,0.105,1,1,DONE
5,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t5.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,5,3,0.209,0.381,0.0,0.173,0.105,1,1,DONE
6,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t6.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,6,3,0.203,0.381,0.0,0.173,0.105,1,1,DONE
7,none,off,off,off,on,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corron_t7.png,0.4,0.45,0.0,0.39988,0.45036,0.0,0.12,-0.362,0.0,0.082,-0.152,-0.105,7,3,0.216,0.381,0.0,0.173,0.105,1,1,DONE
0,none,off,off,off,off,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corroff_t0.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,0,1,0.08,9.836,3.468,10.0,3.0,0,0,DONE
1,none,off,off,off,off,C:\Users\태원\R0B\experiments\run_images\none_d1off_d2off_d3off_corroff_t1.png,0.4,0.45,0.0,0.4082,0.44457,0.06053,-8.203,5.428,-3.468,-8.0,6.0,-3.0,1,1,0.076,9.836,3.468,10.0,3.0,0,0,DONE
